,Name,Description,Industry,Keywords,Founded,Locations,Disclosed Funding,Next Round Estimate,Probability Score,Valuation Estimate
152,Eko,"Revolutionize the way you work!
Connect all your employees, streamline company processes, enhance communication, and so much more.
",business and industry,"chat, collaboration app, internet company, jobs and employment, online collaboration...",2012,United States,$10.70m,Q4 2018,49%,$13.33m
153,Element Data,Make better decisions,information technology,,2018,United States,$2.60m,Q4 2018,,$17.33m
154,Elroy Air,We are building autonomous aircraft systems to deliver goods to the world’s most remote places.,,aerospace company,2018,United States,$4.60m,Q1 2019,,$30.67m
155,Elsa,ELSA is your English Language Speech Assistant. ELSA helps you practice your English pronunciation and speak like a native speaker!,education,"accent reduction, elsa, elsa speak, improve pronunciation, learn english...",2015,United States,$3.20m,Q2 2019,45%,$21.33m
156,Elsen,SaaS high performance analytics platform for financial institutions simplifying extraction of actionable intelligence from financial markets.,big data & ai,"algorithmic trading, alpha factor modeling, finance, hedge funds, internet company...",2013,United States,$2.08m,Q2 2018,65%,$6.20m
157,Elucent Medical,Transforming Breast Conserving Surgery Through Precise Surgical Navigation,medicine,elucent medical,2014,United States,$7.20m,Q2 2018,75%,$48.00m
158,Emmersion Learning,Emmersion Learning raises the bar for English learning by providing immersive and individual language coaching to organizations world wide!,,education,2018,United States,$600k,Q1 2019,,$4.00m
159,emocha Mobile Health,A mobile health platform that streamlines the continuum of care.,medicine,"health, health/medical/pharmaceuticals",2014,United States,$1.65m,Q2 2018,83%,$6.67m
160,EmployStream,"We create high-quality, user-friendly #SaaS for high-volume employers that automates hiring and employment tasks, creating a better customer experience.",business and industry,internet company,2017,United States,$1.00m,Q3 2018,,$6.67m
161,Enertiv,"The energy monitoring solutions company. 

www.enertiv.com 

Follow us @enertiv on Twitter and Instagram!",oil and energy,"business and industry, computer software, information technology company, local business",2011,United States,$7.65m,Q4 2018,42%,$28.33m
162,EnsoData,N/A,big data & ai,,2015,United States,$2.05m,Q3 2019,44%,$10.00m
163,Entrupy,N/A,,publishing and printing,2012,United States,$2.60m,Q3 2018,46%,$17.33m
164,Enview,Enview,information technology,,2015,United States,$6.00m,Q1 2019,43%,$40.00m
165,Episona,We develop personalized diagnostics based on the science of epigenetics. Our first test predicts male infertility and embryo quality.,medicine,"biotechnology, health/medical/pharmaceuticals, reproductive health",2013,United States,$4.00m,Q3 2018,87%,$26.67m
166,EquityZen,Where Private Investors Access Proven Startups - We're Hiring!,,"bank/financial institution, financial services, investing",2013,United States,$3.00m,Q3 2018,62%,$20.00m
167,eRelevance,"eRelevance is a game-changing, tech-powered customer marketing service that generates more repeat business from your customers.
eRelevance is a game-changing, tech-powered customer marketing service for small businesses that generates more repeat business from your customers.
eRelevance is a game-changing, tech-powered customer marketing service that generates more repeat business from your customers. Let our experts take your customer marketing off your plate.",business and industry,"advertising agency, customer marketing, healthcare industry, hospital and health care, marketing automation service...",2013,United States,$9.60m,Q3 2018,44%,$34.00m
168,Eshelman Ventures,"Local firm working w/ private healthcare company investments including startups, private equity funds & more. See Investment Criteria and View Portfolio.",financial services,,2017,United States,$6.00m,Q3 2018,,$40.00m
169,Esports One,Esports One is a data capture and analytics company dedicated to enhancing the viewing experience of esports fans around the globe.,information technology,internet company,2018,United States,$3.00m,Q1 2019,,$20.00m
170,EVEN Financial,Demystifying online lending to help you navigate the new financial landscape. We match borrowers with trusted loan providers and low rates in one place. ,financial services,financial services,2014,United States,$5.80m,Q1 2020,54%,$20.00m
171,Evolute,Evolute offers powerful features to help you get the best out of your infrastructure. Now you can finally trust containers in production.,information technology,local business,2015,United States,$6.40m,Q4 2018,43%,$41.00m
172,Exo,"Exo makes delicious protein bars from cricket flour that are good for you and good for the environment. No soy, dairy gluten or refined sugars.",shopping,"food and beverage company, food/beverages, video games",2013,United States,$11.20m,Q2 2018,45%,$26.67m
173,Explain Everything,"Create, Collaborate, Share and Discover",education,software,2011,United States,$5.70m,Q2 2018,58%,$24.67m
174,Extempore,"Extempore's mobile app allows instructors to obtain and assess spontaneous speech from their students. 

",education,information technology company,2018,United States,$420k,Q1 2019,,$2.80m
175,extraSlice,"Accelerating Innovation.

extraSlice strives to give tech startups the resources they need to launch their dreams.",business and industry,"business and industry, computers/technology",2017,United States,$1.00m,Q4 2018,72%,$6.67m
176,Eyechronic TV,"The Eyechronic Network combines strategically placed entertainment, social media content and information widgets help to draw customers into the screens alongside powerfully animated video advertisements and promotional loops.",news and media,telecommunication company,2018,United States,$3.00m,Q1 2019,,$20.00m
177,Fairygodboss,No magic wands! Join hundreds of thousands of women dishing about their workplace: Be a #fairygodboss!,jobs and employment,,2015,United States,$1.00m,Q2 2018,53%,$6.67m
178,Fanai,"FanAI, an AI-driven Audience Monetization platform focusing on eSports and their sponsor ecosystems designed to increase franchise and sponsorship revenues",,"esport platform, esports, esports marketing, esports sponsorship, fan analytics...",2018,United States,$2.50m,Q1 2019,,$16.67m
179,Farmstead Grocery Delivery,"We’re on a mission to change groceries forever. 

We deliver seasonal, local, organic groceries to your doorstep with no fees and no minimums. ",shopping,organic grocery store,2018,United States,$6.80m,Q3 2018,,$13.33m
180,Feature Labs,Rapidly model raw data,big data & ai,science technology and engineering,2018,United States,$1.50m,Q1 2019,,$10.00m
181,Fest300,Your guide to the world's best music and cultural festivals.,tours/sightseeing,"arts and entertainment, community organization",2014,United States,$3.60m,Q3 2018,64%,$24.00m
182,FieldIn,End-to-end pest management software solution for professional growers of high-value crops,agriculture,"agromentum, agrumentom, agtech, almonds, citrus...",2018,United States,$4.00m,Q1 2019,,$26.67m
183,Figo Pet Insurance,"Tech-based pet insurance protecting one pet at a time. Figo is here to make life easy for you and your pet. Enjoy the journey, we've got the rest.",business and industry,insurance company,2013,United States,$8.00m,Q4 2019,67%,$26.67m
184,Figs,"100% Awesome Medical Apparel! For every set of scrubs sold, FIGS gives a set to a healthcare provider in need.
www.wearFIGS.com
",shopping,clothing,2013,United States,$7.00m,Q2 2018,45%,$33.33m
185,FilterEasy,"The official Facebook page of FilterEasy. America's Home Air Filter Delivery Service.
FilterEasy.com | 800.308.1186 
Twitter & IG: @FilterEasy ",,"ac air filter, ac air filters, ac filter sizes, ac filters sizes, air conditioner air filters...",2012,United States,$12.31m,Q4 2018,46%,$46.00m
186,FinalPrice,Save Money. Travel Better.,,,2016,United States,$4.00m,Q3 2018,40%,$26.67m
187,Finexio,Finexio is the smart B2B payment network,business and industry,business service,2015,United States,$5.00m,Q2 2019,,$26.67m
188,FinTech Studios,"FinTech Studios develops and markets a cloud-based platform of curated, disruptive FinTech apps and big-data financial analytic products.",big data & ai,financial service,2014,United States,$1.00m,Q3 2018,58%,$6.67m
189,First Stop Health,"First Stop Health (www.FSHealth.com) is a quick, convenient and affordable telehealth and advocacy service available to employers and to consumers.",,"health, health/medical/pharmaceuticals, hospital and health care",2011,United States,$4.35m,Q4 2018,86%,$4.33m
190,Fitcode,Your perfect denim fit starts here. ,ecommerce,"software, software company",2014,United States,$2.55m,Q1 2020,50%,$5.00m
191,Flashback Technologies,N/A,big data & ai,"medical device, software",2009,United States,$3.34m,Q2 2018,33%,$8.32m
192,Float,"Resource scheduling software trusted by the world's top agencies and brands. Still using spreadsheets? Try Float, the team planning calendar application for today's modern teams. Free for 30 days.",,,2012,United States,$3.00m,Q2 2018,52%,$20.00m
193,Flowhub,"Hi, we're Flowhub. Our state-of-the-art POS solution reports directly to METRC, automates discounts, & offers increased visibility over your cannabusiness.",business and industry,software,2015,United States,$3.25m,Q3 2018,66%,$21.67m
194,Flowspace,Flowspace makes finding and utilizing warehouse space easier.  ,,"flexible warehouse space, industrial company, lease warehouse space, rent warehouse, rent warehouse space...",2018,United States,$1.20m,Q1 2019,,$8.00m
195,Floyd,Furniture for keeping.,,furniture,2014,United States,$5.98m,Q3 2019,,$37.33m
196,Fly,Fly.com is the simplest way to find the right flight at the right price. See the latest deals at http://www.fly.com/deals,aviation,"airlines, billige flugtickets, billigflieger, billigflüge, flugverbindungen weltweit...",2009,United States,$2.89m,Q3 2018,39%,$19.27m
197,FoldiMate,Spend more time with your loved ones by handing over your laundry folding to FoldiMate Family™ - the robotic laundry folding machine. Reserve yours today!,information technology,"appliances, automatic robotic clothes folding, clothes folding, fold laundry, fold washing...",2012,United States,$3.00m,Q3 2018,52%,$20.00m
198,Foodsby,"Official Facebook for Foodsby
www.foodsby.com
Stay in the Zone

Contact Us: support@foodsby.com",shopping,"food/beverages, restaurants and delivery",2012,United States,$6.00m,Q2 2018,41%,$40.00m
199,Fossa LLC dba Channel Navigator,N/A,business and industry,"information services, marketing and advertising",2011,United States,$2.20m,Q2 2018,18%,$14.67m
200,Foxtrot,"Beer, wine, spirits, fresh eats, gifts & everyday essentials, delivered in minutes: iOS & Android | Shop in person: West Loop & Lincoln Park",shopping,"internet, shopping",2013,United States,$7.10m,Q1 2020,40%,$40.00m
201,Fragments,"Fragments is a low volatility cryptocurrency and platform. Our mission is to produce a fair and stable money for the world. 

Chat with us on telegram:
https://t.me/FragmentsProtocol

& read with us on Medium:
https://medium.com/fragments-protocol-blog

",financial services,science technology and engineering,2018,United States,$3.00m,Q2 2019,,$20.00m
202,Fraugster,An anti-fraud company that uses artificial intelligence to eliminate fraud and increase customers’ profits.,business and industry,"anti-fraud, anti-fraud system, business, e-commerce, fraugster...",2014,"Germany, United Kingdom, United States",$5.00m,Q2 2018,65%,$33.33m
203,FreeAgent CRM,"FreeAgent CRM

The Most Time-Saving CRM you'll ever find. It makes you and your team productive with its super easy-to-use interface and complete set of features perfect for your growing business.",business and industry,"crm on demand, crm online, crm suites, freeagent crm, internet company...",2018,United States,$5.60m,Q1 2019,,$37.33m
204,Fritz,N/A,,,2018,United States,$2.00m,Q1 2019,,$13.33m
205,Front Range Biosciences,Front Range Biosciences provides advanced agricultural science services to plant growers.,agriculture,biotechnology company,2017,United States,$3.00m,Q4 2018,,$20.00m
206,Fruit Street Health,"Fruit Street's goal is to address the global obesity epidemic and to encourage people to proactively take care of their health and wellness.
The consumer p",medicine,health/beauty,2014,United States,$4.40m,Q4 2018,84%,$20.00m
207,Full Circle Brewing,N/A,recreation,,2018,United States,$800k,Q1 2019,,$9.60m
208,Full Harvest,Full Harvest is a B2B platform connecting large farms to food companies to sell surplus and imperfect produce at significant discounts. ,shopping,agriculture company,2015,United States,$2.00m,Q2 2018,51%,$13.33m
209,Furnishare,Furnishare is a full service furniture sharing platform. Our goal is to make a beautiful home affordable for everyone and sustainable for our planet.,shopping,furniture,2014,United States,$2.00m,Q1 2019,24%,$13.33m
210,Fusion Coolant Systems,Changing manufacturing standards with a supercritical solution that delivers unprecedented productivity and tool life gains while eliminating water-based coolants and coolant alternatives. Welcome to the (r)evolution.,engineering and technology,"internet and telecom, local business",2009,United States,$1.85m,Q4 2018,25%,$8.33m
211,Fynd,"I help fashion retailers provide a better customer experience through chat. I'm everywhere awesome customers are, both on your own site and on Facebook through messenger.",information technology,,2015,United States,$500k,Q2 2018,39%,$3.33m
212,Gainfully,"A free account that makes communicating and collaborating with clients, broker-dealers, RIAs, insurance carriers, and asset managers a snap for you and your team.",social media,"business and industry, software",2014,United States,$2.50m,Q1 2019,45%,$16.67m
213,Gate,"Gate is your personal doorman.
Pre-order Gate Now on Indiegogo: https://igg.me/at/gate/x/15046653",,,2018,United States,$5.00m,Q1 2019,,$33.33m
214,Gather Online,"Join like-minded people for real conversations, right here on our Facebook page, and at GatherOnline.com",information technology,"gather, gather app, gather online, wegather",2018,United States,$1.00m,Q2 2019,,$6.67m
215,Gavelytics,Gavelytics,,,2018,United States,$3.20m,Q2 2019,,$21.33m
216,GearLaunch,Professional online storefronts plus back end support,ecommerce,"business and industry, software",2013,United States,$4.80m,Q4 2018,51%,$32.00m
217,GECKO Governance,Award winning RegTech solutions for the Financial industry,financial services,software company,2015,"Australia, Ireland, United States",$1.00m,Q1 2019,,$6.67m
218,Genialis,Genialis builds software to empower scientists to find meaning in their data.,information technology,"computer software, online marketing",2013,United States,$2.30m,Q4 2018,66%,$15.33m
219,Genie,"Genie App: A cool and easy way to find things you need, new places to explore, or people to connect with. | www.GenieApp.info",social media,,2017,United States,$250k,Q2 2018,46%,$1.67m
220,Genomind,Genomind® is a unique personalized medicine platform that brings innovation to healthcare around the world to help improve the quality of human life.,medicine,"biotechnology, biotechnology company, bipolar genetic test, clinicians, doctor...",2009,United States,$8.00m,Q2 2018,89%,$20.00m
221,Genvid Technologies,Genvid's SDK enables developers to create and deliver premium interactive broadcasts to livestreaming audiences.,,"broadcast, esport streaming, game streaming, live streaming",2016,United States,$4.00m,Q3 2018,63%,$16.67m
222,Geostellar,"The first of its kind online solar marketplace.  Bringing cheaper, cleaner power for your home or business.  http://geostellar.com/
",oil and energy,"business and industry, renewables and environment",2011,United States,$8.00m,Q3 2018,61%,$46.67m
223,GeoZilla,GeoZilla is an Open IoT Platform for Family Safety that enables users and their family members to connect IoT devices via smartphone.,big data & ai,"360, app, base, bluetooth, child...",2015,United States,$1.00m,Q2 2018,66%,$6.67m
224,Gimlet Media,"A show about the human side of starting and running a business, co-hosted by Alex Blumberg and Lisa Chow.
",information technology,"gimlet, music and audio, news/media website, podcasting, podcasts...",2014,United States,$20.00m,Q2 2018,39%,$33.33m
225,Gixo,Live Fitness Classes Wherever You Are.,,"app, exercise, fitness, internet company, online classes...",2016,United States,$3.70m,Q3 2018,59%,$24.67m
226,Glamping Hub,Glamping Hub is the world's leading curated online booking platform dedicated to unique accommodations in nature.,tours/sightseeing,"alaska & hawaii, california glamping, glamping, glamping sites, holiday homes...",2011,United States,$3.04m,Q3 2018,59%,$13.33m
227,goTenna,goTenna™ is a new device that pairs with your smartphone and lets you communicate with others even when you don't have service.,information technology,"consumer electronics, gotenna, hiking, ios, mobile developers...",2012,United States,$15.00m,Q2 2018,60%,$50.00m
228,Grainful,Bringing you the goodness of oats for dinner,shopping,food/beverages,2009,United States,$3.30m,Q2 2019,30%,$22.00m
229,Graph Story,Graph Story helps you build products and services around your connected data.,big data & ai,"computer software, internet/software, software",2014,United States,$1.47m,Q3 2018,51%,$6.67m
230,GreatHorn,GreatHorn is a cybersecurity company that helps organizations detect and prevent spear phishing and credential theft attacks automatically.,information technology,"internet/software, music and audio",2015,United States,$8.55m,Q3 2018,67%,$42.00m
231,greenRush,GreenRush is the EASIEST & FASTEST way to order medicinal cannabis products for delivery in California!,ecommerce,"construction and maintenance, website",2014,United States,$3.60m,Q1 2019,52%,$24.00m
232,Greetabl,"Greetabl is an online one-stop-shop for creatively-curated gifts and greetings that are personalized, packaged and sent in just a few clicks.",ecommerce,"gifting, gifts, greetabl",2012,United States,$2.42m,Q2 2018,43%,$10.00m
233,Gremlin,Helping companies build more resilient systems.,business and industry,internet company,2017,United States,$7.50m,Q1 2019,,$50.00m
234,Groundspeed,Groundspeed automates claim data management for property and casualty insurance brokers,big data & ai,internet company,2015,United States,$2.00m,Q2 2018,51%,$13.33m
235,Groupize,N/A,business and industry,"hospitality, local business, transportation and logistics",2009,United States,$7.25m,Q3 2019,34%,$21.67m
236,Grove,Grove | Personalized Financial Planning,,,2018,United States,$2.10m,Q1 2019,,$14.00m
237,Growbots,Growbots - A.I. for Sales. We've automated outbound sales process. Forget empty pipelines and grow faster!,information technology,"internet, internet company, internet/software, marketing and advertising",2014,United States,$2.50m,Q3 2018,42%,$16.67m
238,Guesty,"Guesty: Your Airbnb, Professionally Managed",information technology,"internet, web hosting",2013,United States,$6.00m,Q4 2018,75%,$20.00m
239,Guidefitter,"Find a great hunting outfitter: www.guidefitter.com
Promote your outfitting business: www.guidefitter.com/for-outfitters",,"internet, tourism, travel company, travel/leisure",2011,United States,$1.50m,Q2 2019,31%,$10.00m
240,HappyCo,"Inspections that save time and money. We make life easier for all Property Managers.

Check out our site: happyinspector.com/",,"business service, information technology and services, local business, software",2011,United States,$19.72m,Q3 2019,51%,$50.00m
241,Happy Tree Maple Water,"Happy Tree produces Maple Water, the finest raw and organic maple water sourced from trees in the US.",shopping,food and beverage company,2014,United States,$1.59m,Q2 2018,,$10.59m
242,Hatch Apps,"Hatch was founded on the belief that everyone, regardless of technical ability, should be able to create, build and launch their own app. 

Our software platform empowers you to design an app and publish to web, iOS and Android— no coding required.",information technology,"app builder, best software development, build my own app, build your own app, mobile app builder...",2018,United States,$1.30m,Q2 2019,,$9.75m
243,Hatchbuck,Hatchbuck is simple sales and marketing software for small business.,information technology,"business and industry, computer software, internet/software",2011,United States,$4.00m,Q2 2018,69%,$26.67m
244,Haystax Technology,Haystax’s security analytics platform applies AI techniques to reason like a team of analysts and prioritize risks in real time at scale for more effective protection of critical assets.,big data & ai,"computer software, software",2012,United States,$4.00m,Q1 2019,54%,$26.67m
245,Headset,"Business Intelligence for cannabis companies, from dispensaries and retailers to product manufacturers and growers.
",big data & ai,internet/software,2015,United States,$2.50m,Q2 2018,59%,$16.67m
246,Healthify,Healthify is the leading software solution for healthcare and community services to address social determinants of health.,medicine,"health, hospital and health care, internet/software",2013,United States,$9.52m,Q4 2018,86%,$43.33m
247,Healthy Pets,healthypets.io is Canada's first virtual veterinary consultation service. We offer affordable and on-demand veterinary care. ,home and garden,,2018,United States,$388k,Q2 2019,,$2.58m
248,Helloiamelliot,N/A,ecommerce,,2017,United States,$3.00m,Q1 2019,,$20.00m
249,HelloTeam,"Your People Your People Drive People Success with our Modern Engagement and Talent Management Platform Drive People Success with our Modern Engagement and Talent Management Platform HelloTeam is a modern engagement and talent management platform, designed to increase employee engagement, impact retention and create data-driven people strategies backed by real-time instant insights and analytics. Our … Continue reading",business and industry,internet company,2018,United States,$2.70m,Q1 2019,,$18.00m
250,Help Scout,Help Scout is a web-based help desk designed for a great customer experience. ,business and industry,"internet, software",2011,United States,$12.98m,Q3 2018,80%,$41.20m
251,Helpshift,Helpshift delivers scalable customer service in your mobile apps and mobile websites. CRM for mobile enabling customer conversations inside your app.,information technology,"6992b44ac6988f66d281, application help desk, customer service, customer service apps, customer support...",2011,United States,$38.53m,Q2 2018,69%,$13.33m
252,Hevo,"Bring data from any data source to the data warehouse of your choice - Redshift, BigQuery, Snowflake and more. Build your data pipeline in minutes.
Bring data from any data source to the data warehouse of your choice - Redshift, BigQuery, Snowflake and more. Build your data pipeline in minutes..",big data & ai,,2017,United States,$1.00m,Q4 2018,,$6.67m
253,Hiveel Technologies,https://itunes.apple.com/us/app/hiveel-used-car-marketplace/id1156571923?mt=8,autos and vehicles,computer company,2016,United States,$1.00m,Q4 2018,,$7.50m
254,HoloBuilder,"www.bitstars.com

Watch our demo videos on youtube http://www.youtube.com/user/bitstars

Impressum: http://bitstars.com/?page_id=43",information technology,"arts and entertainment, information technology and services, internet/software",2014,United States,$2.92m,Q1 2019,65%,$15.00m
255,HopSkipDrive,"HopSkipDrive is a ride service for families, created by moms, driven with love. Download our app in the App Store or Google Play today!",transportation and logistics,"cars, internet, transportation",2014,United States,$21.50m,Q1 2019,53%,$49.33m
256,Hudway,"Head-Up Display (augmented reality) in car.

HUDWAY App — mobile app (iOS, Android) for navigation;
HUDWAY Glass — HUD smartphone accessory.",mobile platforms,software,2013,United States,$626k,Q4 2018,51%,$1.20m
257,Hull,"Your customer data, simplified. we help you transform, enrich, filter, search and segment customer data in all your tools.",business and industry,"mobile developers, software",2013,United States,$2.60m,Q2 2019,53%,$17.33m
258,Hum Nutrition,"BEAUTY STARTS FROM WITHIN
... which is why we started HUM. Our mission is to make you look great and feel even greater.",health/beauty,"anti-ageing, anti-oxidants, b12, beauty, beauty quiz...",2017,United States,$5.00m,Q4 2018,,$33.33m
259,Hyperfair,Social VR for enterprises. Hyperfair enables real-life dynamics facilitating business match-making.,business and industry,"avatar, business, business and industry, computers and internet website, computers/internet website...",2010,United States,$3.40m,Q3 2018,66%,$7.33m
260,Hyr,Get the app that works for you.,mobile platforms,local business,2018,United States,$1.60m,Q1 2019,,$10.67m
261,Iam Robotics,"Autonomous Order Fulfillment and Material Handling.We're pioneering a new, ultra-efficient future for your warehouse with our end-to-end autonomous order f",information technology,industrials,2012,United States,$950k,Q3 2018,40%,$3.33m
262,Ifeelgoods,"Ifeelgoods enables brands to reward seamlessly their audiences in a variety of solutions - eCommerce, CRM, social media, shopper marketing etc...",marketing and advertising,marketing and advertising,2010,United States,$15.50m,Q3 2019,48%,$40.00m
263,Igloohome,"Igloohome helps people manage homes and properties through innovative technologies. 

Our key product is the Igloohome smart lock.
",science,,2015,United States,$5.25m,Q1 2020,49%,$26.67m
264,Imbed Biosciences,"Imbed Biosciences is an innovative development stage company developing medical devices for the management of burns, wounds, and soft tissue repair.",medicine,"medical company, tourism",2010,United States,$4.18m,Q1 2019,28%,$10.67m
265,Immusoft,Programming your cells to cure disease,medicine,"anti-aging, business and industry, follistatin, heart disease, hiv...",2009,United States,$5.74m,Q1 2019,75%,$20.00m
266,Inceptus Medical,"Inceptus is a medical device company incubator with a mission to create and foster innovative concepts into companies by providing a combination of experienced engineering, clinical research expertise, seasoned leadership and strong financial resources.",medicine,"biotechnology and pharmaceuticals, inceptus medical, local business, medical device",2011,United States,$9.20m,Q1 2020,66%,$30.00m
267,Indico,indico provides developer-friendly tools and APIs that turn raw text and image data into human insight.,big data & ai,"computer software, e-commerce, internet/software",2013,United States,$4.20m,Q2 2018,62%,$8.00m
268,IndoorAtlas,"IndoorAtlas helps you answer the key question ""Where am I?"" indoors. 
",information technology,"business and industry, information services, internet/software",2012,United States,$25.51m,Q3 2018,65%,$28.24m
269,Infina Connect,"Infina Connect is a SaaS software company that is solving one of healthcare’s most critical issues–ensuring patients receive high value, coordinated care when referred to other providers.",medicine,internet and telecom,2010,United States,$1.90m,Q3 2018,59%,$12.67m
270,Infocyte,N/A,information technology,domain names and register,2014,United States,$9.10m,Q3 2019,72%,$34.67m
271,Informed by Mindset Medical,Informed is a universal patient engagement  platform built to equip patients and physicians with updated and secure health information.  ,medicine,information technology company,2018,United States,$1.00m,Q2 2019,,$6.67m
272,Innovapptive,Innovapptive Inc. focuses on providing instant enterprise mobilization solutions to customers and accelerate their time to market and value,business and industry,"afaria consultants, afaria consulting, business apps, cloud based mobility, enterprise app store...",2012,United States,$1.50m,Q2 2018,72%,$10.00m
273,InSilico Medicine,"A company dedicated to finding novel solutions for cancer, aging and age-related diseases using advances in genomics and big data analysis. ",big data & ai,"biotechnology, universities and colleges",2014,United States,$12.75m,Q2 2018,82%,$18.33m
274,Instapage,Instapage makes building & A/B split testing landing pages for teams & agencies simple. ,marketing and advertising,"business and industry, internet/software, marketing and advertising, software company",2012,United States,$1.60m,Q2 2019,66%,$6.67m
275,Insticator,Insticator helps publishers worldwide boost visitor engagement & generate ad revenue within their website.,news and media,"ad units, ads, advertising, audience data, audience insights...",2012,United States,$10.06m,Q4 2018,79%,$34.67m
276,Instrumental,Manufacturing line intelligence that works. Discover issues early. Solve problems faster. Stop delays before they start.,,,2015,United States,$7.50m,Q3 2018,33%,$50.00m
277,Insurify,"Insurify is your smart and trusted car insurance agent. It provides fast, accurate, personalized recommendations; and saves money too.",financial services,"auto insurance comparison, automobile, car, car insurance, carriers...",2013,United States,$6.60m,Q2 2018,58%,$30.67m
278,Intello,Intelligent SaaS Optimization,information technology,software company,2018,United States,$1.30m,Q1 2019,,$8.67m
279,Iotas,IOTAS is the smart home experience designed specifically for renters. ,information technology,news and media,2014,United States,$5.30m,Q3 2018,62%,$35.33m
280,IQuity,"IQuity Labs is dedicated to delivering IQIsolate™, a breakthrough RNA analytics and diagnostics process to confirm certain autoimmune diseases.",,,2013,United States,$4.35m,Q3 2018,35%,$17.63m
281,Ironhack,Learn the fundamentals of web and mobile development in 8 weeks. Become a digital builder. www.ironhack.com,education,"education, education management",2013,United States,$3.00m,Q4 2018,68%,$20.00m
282,iScribes,iScribes offers technology solutions to free physicians from the burden of medical documentation.,science,health/medical/pharmaceuticals,2014,United States,$410k,Q2 2018,90%,$2.73m
283,Jaanuu,"/jaw-new/. Medical Apparel Reimagined. Enjoy 25% OFF & Free Shipping this month only.
GET OFFER NOW → http://bit.ly/1BWtemi",shopping,clothing,2013,United States,$5.00m,Q2 2018,54%,$33.33m
284,Jebbit,"Jebbit’s digital marketing platform engages your audience and captures unique data, while increasing conversions and lifetime value.",news and media,"business and industry, marketing and advertising",2011,United States,$10.44m,Q2 2019,70%,$45.33m
285,Jibu,"Safe water effectively, affordably - and quickly. Visit our website www.jibuco.com",,business and industry,2012,United States,$7.00m,Q2 2019,30%,$46.67m
286,Joberate,www.joberate.com - Quantifying Job Seeking Behaviors of the Global Workforce. http://twitter.com/Joberate ,,"human resources, jobs and employment, professional service",2014,United States,$1.20m,Q1 2019,72%,$8.00m
287,Jocoos,"Tech Startup, Mobile Application, Video Transcoding Technology",music,"business and industry, information technology and services, internet/software",2012,United States,$924k,Q2 2019,40%,$6.16m
288,Joi Scientific,"Joi Scientific is developing clean, abundant and affordable hydrogen gas from water, on-demand, at the point of use. We call this Hydrogen 2.0.",environmental technology,energy,2009,United States,$7.00m,Q4 2018,55%,$13.33m
289,Jopwell,"We connect Black, Latino/Hispanic, & Native American professionals and students with top companies for jobs & internships. Join us & find your dream job.",jobs and employment,,2014,United States,$10.75m,Q3 2019,54%,$50.00m
290,Journey Sales,"Journey Sales’ Smart Rooms enable you to engage with your customers by providing always-on, high value content that is aligned with their stage in the buyi",business and industry,computers/technology,2014,United States,$4.17m,Q1 2019,51%,$5.17m
291,JoynIn,JoynIn helps servers and bartenders turn customers who like them into regulars who love them.,marketing and advertising,religion and spirituality,2010,United States,$2.35m,Q3 2018,44%,$15.70m
292,Jukeboxio,"Personalize your venue's music experience with fully licensed catalog for commercial use!
www.jukebox.io",music,"background, bars, commercial background music, digital, digital jukebox...",2014,United States,$2.15m,Q2 2018,41%,$14.31m
293,Juniper Square,"Juniper Square is an intuitive, all-in-one investment management software system designed specifically for the real estate industry.",financial services,internet company,2018,United States,$6.00m,Q2 2019,,$40.00m
294,Kalion,"Roker  - Corporate, Creative, Multi Purpose, Responsive And Retina Template",,html5 template,2011,United States,$1.00m,Q2 2018,75%,$2.33m
295,Keepe,Keepe is a Handyman on Demand service for getting tasks done around your home,property management,"air conditioning, android handyman app, android plumber app, app for getting handymen, app for getting plumbers...",2014,United States,$1.50m,Q4 2018,52%,$10.00m
296,Kelly Klee Private Insurance,"Better high-value home, auto, collections, and umbrella insurance. Kelly Klee provides comprehensive coverage plans for those with more than most.",,insurance broker,2018,United States,$4.50m,Q1 2019,,$30.00m
297,Kickstarter,Bringing creative projects to life! <3 ,recreation,"arts/humanities website, internet, people and society",2009,United States,$144.10m,Q2 2018,77%,$47.33m
298,KickUp,KickUp partners with K-12 organizations to coordinate professional learning efforts and synthesize data related to community progress and needs over time.,information technology,education,2014,United States,$2.27m,Q3 2018,56%,$4.87m
299,Kidizen,Kidizen is your marketplace to buy & sell kidstuff. Download the iPhone App: http://bit.ly/kidiosfb1. Download the Android App: http://bit.ly/kidandroidfb,family,"baby goods/kids goods, internet, shopping",2010,United States,$3.20m,Q2 2018,36%,$21.33m
300,KidPass,"KidPass is a new way for parents to discover and book amazing children's activities. Get access to exclusive events, classes, camps, museums, and more.",family,website,2015,United States,$6.30m,Q2 2018,57%,$34.00m
301,Kin Insurance,Making insurance sane.,,insurance company,2016,United States,$4.00m,Q3 2018,77%,$26.67m
302,KitSplit,"Called “the AirBNB of cameras” by Forbes and Fast Company, we connect companies and people who own gear with those looking to rent.",news and media,,2014,United States,$2.10m,Q1 2019,50%,$14.00m
303,Kloudless,Kloudless offers APIs and developer tools that help businesses easily build integrations to software applications and data sources.,information technology,"internet, internet and telecom",2011,United States,$6.00m,Q3 2019,53%,$40.00m
